,age,job,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown
0,4,4,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1,3,9,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
2,2,2,0,2,1,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
3,3,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
4,2,11,0,2,0,0,5,8,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
5,2,4,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
6,1,4,0,3,1,1,5,8,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
7,3,2,1,2,1,0,5,8,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
8,4,5,0,3,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
9,3,9,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
10,3,0,0,3,1,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
11,2,0,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
12,4,9,0,2,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
13,4,9,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
14,4,7,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
15,4,5,0,3,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
16,3,0,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
17,4,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
18,4,5,0,3,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19,2,7,0,2,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
20,1,1,0,3,1,1,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
21,4,4,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
22,2,1,0,3,1,1,5,8,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
23,1,7,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
24,3,5,0,2,1,1,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
25,3,0,0,2,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
26,2,4,0,3,1,0,5,8,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
27,4,2,0,3,1,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
28,3,4,0,2,1,0,5,8,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
29,2,9,0,3,1,1,5,8,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
30,4,9,0,3,0,1,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
31,3,4,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
32,4,0,0,3,1,1,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
33,4,1,0,2,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
35,4,9,0,3,1,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
36,1,1,0,2,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
38,2,0,0,3,1,0,5,8,3,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
39,2,0,0,2,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
40,3,7,0,3,1,0,5,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
41,3,4,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
42,4,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
44,4,5,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
45,2,0,0,2,1,0,5,8,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
46,4,6,0,2,1,0,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
47,3,9,0,2,1,0,5,8,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
48,4,9,0,2,0,0,5,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
49,2,4,0,2,1,0,5,8,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
50,4,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
51,3,4,0,2,1,0,5,8,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
52,2,4,0,2,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
53,3,0,0,2,1,0,5,8,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
54,1,9,0,2,1,1,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
55,2,2,0,3,0,1,5,8,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
56,2,4,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
57,3,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
58,3,1,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
60,2,0,0,2,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
61,4,9,0,3,1,0,5,8,4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
62,4,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
63,2,7,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
64,3,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
65,4,4,0,4,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
66,4,5,0,3,0,0,5,8,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
67,4,4,0,3,1,0,5,8,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
68,4,9,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
70,4,1,0,4,1,1,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
71,2,7,0,3,1,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
72,4,4,0,3,1,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
73,4,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
74,3,9,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
75,4,9,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
76,3,1,0,3,0,1,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
77,4,7,0,3,0,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
78,3,7,0,2,1,1,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
79,4,7,1,2,1,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
80,3,0,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
81,3,7,0,3,0,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
82,3,9,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
84,3,6,0,3,1,1,5,8,2,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
85,4,1,0,3,1,0,5,8,3,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
88,3,4,0,3,1,1,5,8,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
89,4,5,0,3,1,0,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
90,3,4,0,3,0,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
91,2,9,0,3,1,1,5,8,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
92,4,0,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
93,4,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
94,4,2,0,2,0,0,5,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
95,2,4,0,3,1,1,5,8,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
96,4,1,0,3,0,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
97,4,5,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
98,2,9,0,2,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
99,3,4,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
100,3,1,0,2,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
101,4,1,0,3,0,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
102,4,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
103,4,1,0,3,1,0,5,8,1,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
104,1,9,0,2,1,0,5,8,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
105,3,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
106,3,9,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
107,2,0,0,3,0,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
108,4,5,0,3,1,0,5,8,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
109,3,4,0,3,1,0,5,8,5,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
110,2,7,0,3,1,0,5,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
111,3,9,0,3,0,0,5,8,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
112,4,6,0,2,1,1,5,8,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
113,2,1,0,3,1,0,5,8,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
114,4,5,0,3,1,0,5,8,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
115,3,1,0,3,1,0,5,8,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
116,3,0,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
117,2,4,0,2,1,0,5,8,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
118,4,4,0,3,0,0,5,8,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
119,4,9,0,2,0,0,5,8,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
120,4,9,0,3,1,0,5,8,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
121,4,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
122,2,0,0,2,1,0,5,8,1,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
123,3,7,0,3,1,1,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
124,4,9,0,3,0,1,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
125,2,9,0,3,1,0,5,8,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
126,2,0,0,3,1,1,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
127,2,7,0,2,1,1,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
128,2,1,0,2,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
129,4,7,0,3,1,0,5,8,3,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
130,4,4,0,3,0,0,5,8,4,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
131,2,0,0,3,1,0,5,8,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
132,2,9,0,3,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
133,4,0,0,3,1,1,5,8,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
134,1,10,0,2,1,0,5,8,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
135,1,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
136,2,9,0,2,1,0,5,8,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
137,3,7,0,2,0,0,5,8,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
138,2,1,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
139,3,1,0,3,1,0,5,8,3,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
140,4,3,0,3,1,0,5,8,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
141,2,6,0,2,1,0,5,8,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
142,4,10,0,3,0,0,5,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
143,2,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
144,4,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
145,2,7,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
146,4,1,0,3,1,0,5,8,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
147,3,10,0,3,1,0,5,8,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
148,3,7,0,2,1,0,5,8,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
149,4,1,0,3,1,0,5,8,3,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
150,4,1,0,2,1,0,5,8,1,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
151,1,8,0,2,1,0,5,8,3,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
153,2,4,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
154,3,9,0,3,0,0,5,8,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
155,3,7,0,2,1,0,5,8,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
156,4,1,0,3,1,0,5,8,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
157,4,5,0,3,1,0,5,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
